,laseron,near food
456,3507,True
457,3508,True
458,3509,True
459,3510,True
460,3511,True
461,3512,True
462,3513,True
463,3514,True
464,3515,True
465,3516,False
466,3517,False
467,3518,False
468,3519,False
469,3520,False
470,3521,False
471,3522,False
472,3523,False
473,3524,False
474,4977,False
475,4978,False
476,4979,False
477,4980,False
478,4981,False
479,4982,False
480,4983,False
481,4984,False
482,4985,False
483,4986,False
484,4987,False
485,4988,False
486,4989,False
487,4990,False
488,4991,False
489,4992,False
490,4993,False
491,4994,False
492,4995,False
493,4996,False
494,4997,False
495,4998,False
496,4999,False
497,5000,False
498,5001,False
499,5002,False
500,5003,False
501,5004,False
502,5005,False
503,5006,False
504,5007,False
505,5008,False
506,5009,False
507,5010,False
508,5011,False
509,5012,False
510,5013,False
511,5014,False
512,5015,False
513,5016,False
514,5017,False
515,5018,False
516,5019,False
517,5020,False
518,5021,False
519,5022,False
520,5023,False
521,5024,False
522,5025,False
523,5026,False
524,5027,False
525,5028,True
526,5029,True
527,5030,True
528,5031,True
529,5032,True
530,5033,True
531,5034,True
532,5035,True
533,5036,True
534,5037,True
535,5038,True
536,5039,True
537,5040,True
538,5041,True
539,5042,True
540,5043,True
541,5044,True
542,5045,True
543,5046,True
544,5047,True
545,5048,False
546,5049,False
547,5050,False
548,5051,False
549,5052,False
550,5053,False
551,5054,False
552,5055,False
553,5056,True
554,5057,True
555,5058,True
556,5059,True
557,5060,True
558,5061,True
559,5062,True
560,5063,True
561,5064,True
562,5065,True
563,5066,True
564,5067,True
565,5068,True
566,5069,True
567,5070,True
568,5071,True
569,5072,True
570,5073,True
571,5074,True
572,5075,True
573,5076,True
574,5077,True
575,5078,True
576,5079,True
577,5080,True
578,5081,False
579,5082,False
580,5083,False
581,5084,False
582,5085,False
583,5086,False
584,5087,False
585,5088,False
586,5089,False
587,5090,False
588,5091,False
589,5092,False
590,5093,False
591,5094,False
592,5095,False
593,5096,False
594,5097,False
595,5098,False
596,5099,False
597,5100,False
598,5101,False
599,5102,False
600,5103,False
601,5104,False
602,5105,False
603,5106,False
604,5107,True
605,5108,True
606,5109,True
607,5110,True
608,5111,True
609,5112,True
610,5113,True
611,5114,True
612,5115,True
613,5116,True
614,5117,True
615,5118,True
616,5119,True
617,5120,True
618,5121,True
619,5122,True
620,5123,True
621,5124,True
622,5125,True
623,5126,True
624,5127,True
625,5128,True
626,5129,True
627,5130,True
628,5131,True
629,5132,True
630,5133,True
631,5134,True
632,5135,True
633,5136,True
634,5137,True
635,5138,True
636,5139,True
637,5140,True
638,5141,True
639,5142,True
640,5143,True
641,5144,True
642,5145,True
643,5146,True
644,5147,True
645,5148,True
646,5149,True
647,5150,True
648,5151,True
649,5152,True
650,5153,True
651,5154,True
652,5155,True
653,5156,True
654,5157,True
655,5158,True
656,5159,True
657,5160,True
658,5161,True
659,5162,True
660,5163,True
661,5164,True
662,5165,True
663,5166,True
664,5167,True
665,5168,True
666,5169,True
667,5170,True
668,5171,True
669,5172,True
670,5173,True
671,5174,True
672,5175,True
673,5176,True
674,5177,True
675,5178,True
676,5179,True
677,5180,True
678,5181,True
679,5182,True
680,5183,True
681,5184,True
682,5185,True
683,5186,True
684,5187,True
685,5188,True
686,5189,True
687,5190,True
688,5191,True
689,5192,True
690,5193,True
691,5194,True
692,5195,True
693,5196,True
694,5197,True
695,5198,True
696,5199,True
697,5200,True
698,5201,True
699,5202,True
700,5203,True
701,5204,True
702,5205,True
703,5206,True
704,5207,True
705,5208,True
706,5209,True
707,5210,True
708,5211,True
709,5212,True
710,5213,True
711,6636,True
712,6637,True
713,6638,True
714,6639,True
715,6640,True
716,6641,True
717,6642,True
718,6643,True
719,6644,True
720,6645,True
721,6646,True
722,6647,True
723,6648,True
724,6649,True
725,6650,True
726,6651,True
727,6652,True
728,6653,True
729,6654,True
730,6655,True
731,6656,True
732,6657,True
733,6658,True
734,6659,True
735,6660,True
736,6661,True
737,6662,True
738,6663,True
739,6664,True
740,6665,True
741,6666,True
742,6667,True
743,6668,True
744,6669,True
745,6670,True
746,6671,True
747,6672,True
748,6673,True
749,6674,True
750,6675,True
751,6676,True
752,6677,True
753,6678,True
754,6679,True
755,6680,True
756,6681,True
757,6682,True
758,6683,True
759,6684,True
760,6685,True
761,6686,True
762,6687,True
763,6688,True
764,6689,True
765,6690,True
766,6691,True
767,6692,True
768,6693,True
769,6694,True
770,6695,True
771,6696,True
772,6697,True
773,6698,True
774,6699,True
775,6700,True
776,6701,True
777,6702,True
778,6703,True
779,6704,True
780,6705,True
781,6706,True
782,6707,True
783,6708,True
784,6709,True
785,6710,True
786,6711,True
787,6712,True
788,6713,True
789,6714,True
790,6715,True
791,6716,True
792,6717,True
793,6718,True
794,6719,True
795,6720,True
796,6721,True
797,6722,True
798,6723,True
799,6724,True
800,6725,True
801,6726,True
802,6727,True
803,6728,True
804,6729,True
805,6730,True
806,6731,True
807,6732,True
808,6733,True
809,6734,True
810,6735,True
811,6736,True
812,6737,True
813,6738,True
814,6739,True
815,6740,True
816,6741,True
817,6742,True
818,6743,True
819,6744,True
820,6745,True
821,6746,True
822,6747,True
823,6748,True
824,6749,True
825,6750,True
826,6751,True
827,6752,True
828,6753,True
829,6754,True
830,6755,True
831,6756,True
832,6757,True
833,6758,True
834,6759,True
835,6760,True
836,6761,True
837,6762,True
838,6763,True
839,6764,True
840,6765,True
841,6766,True
842,6767,True
843,6768,True
844,6769,True
845,6770,True
846,6771,True
847,6772,True
848,6773,True
849,6774,True
850,6775,True
851,6776,True
852,6777,True
853,6778,True
854,6779,True
855,6780,True
856,6781,True
857,6782,True
858,6783,True
859,6784,True
860,6785,True
861,6786,True
862,6787,True
863,6788,True
864,6789,True
865,6790,True
866,6791,True
867,6792,True
868,6793,True
869,6794,True
870,6795,True
871,6796,True
872,6797,True
873,6798,True
